	group	line	environment
AAAA_F3_REP1	AAtoAA	ambient	AA
AAAA_F3_REP2	AAtoAA	ambient	AA
AAAA_F3_REP3	AAtoAA	ambient	AA
AAAA_F3_REP4	AAtoAA	ambient	AA
AAHH_F3_REP1	AAtoHH	ambient	HH
AAHH_F3_REP2	AAtoHH	ambient	HH
AAHH_F3_REP3	AAtoHH	ambient	HH
AAHH_F3_REP4	AAtoHH	ambient	HH
HHAA_F3_REP1	HHtoAA	combined	AA
HHAA_F3_REP2	HHtoAA	combined	AA
HHAA_F3_REP3	HHtoAA	combined	AA
HHAA_F3_REP4	HHtoAA	combined	AA
HHHH_F3_REP1	HHtoHH	combined	HH
HHHH_F3_REP2	HHtoHH	combined	HH
HHHH_F3_REP3	HHtoHH	combined	HH
HHHH_F3_REP4	HHtoHH	combined	HH
