transcriptID,part1,part2,part3,rest,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,transcriptID_trim
TRINITY_DN130055_c0_g1,TRINITY_DN130055_c0_g1,NA,NA,NA,194.533844658203,2.66852589023423,0.458627587915593,5.81850276901649,5.93770763451026e-09,5.28109613192733e-06,TRINITY_DN130055_c0_g1::NA
TRINITY_DN147342_c0_g13,TRINITY_DN147342_c0_g13,NA,NA,NA,425.895973498862,2.1728465214904,0.374771580030022,5.79778893937565,6.71949442962727e-09,5.73737312379295e-06,TRINITY_DN147342_c0_g13::NA
TRINITY_DN148783_c1_g1,TRINITY_DN148783_c1_g1,NA,NA,NA,368.527372953048,-2.14060802222661,0.369797515439953,-5.78859492790238,7.09776325424276e-09,5.82726363173331e-06,TRINITY_DN148783_c1_g1::NA
TRINITY_DN147010_c0_g14,TRINITY_DN147010_c0_g14,NA,NA,NA,1674.88649946956,1.40451013731014,0.242902546410704,5.78219602084929,7.37317209487548e-09,5.82917524211897e-06,TRINITY_DN147010_c0_g14::NA
TRINITY_DN136939_c0_g10,TRINITY_DN136939_c0_g10,NA,NA,NA,2746.38766324544,2.60870600949043,0.455368888896637,5.72877522619375,1.01158325518429e-08,7.7118772018442e-06,TRINITY_DN136939_c0_g10::NA
TRINITY_DN131383_c2_g1,TRINITY_DN131383_c2_g1,NA,NA,NA,129.888264566553,-2.42830099377747,0.426492678522201,-5.69365223851332,1.24350236455064e-08,8.84793382456601e-06,TRINITY_DN131383_c2_g1::NA
TRINITY_DN140475_c1_g1,TRINITY_DN140475_c1_g1,NA,NA,NA,843.918526715524,-2.10503156172819,0.369549722199697,-5.69620658675715,1.22502429628421e-08,8.84793382456601e-06,TRINITY_DN140475_c1_g1::NA
TRINITY_DN148197_c0_g9,TRINITY_DN148197_c0_g9,NA,NA,NA,68.5132320504569,-1.81728875045528,0.321119379649631,-5.65923100760253,1.52052770352387e-08,1.04700594707808e-05,TRINITY_DN148197_c0_g9::NA
TRINITY_DN137321_c9_g1,TRINITY_DN137321_c9_g1,NA,NA,NA,443.41152369811,2.53590268580259,0.448900156235374,5.64914636490553,1.61246525090202e-08,1.07561510142983e-05,TRINITY_DN137321_c9_g1::NA
TRINITY_DN123625_c0_g1,TRINITY_DN123625_c0_g1,NA,NA,NA,63.4977680462334,-1.57500237586635,0.27951677722663,-5.63473288256092,1.75329883530421e-08,1.13411869510314e-05,TRINITY_DN123625_c0_g1::NA
TRINITY_DN143204_c5_g1,TRINITY_DN143204_c5_g1,NA,NA,NA,151.283376689777,-2.97567206012443,0.528816383248169,-5.62704211591715,1.83325979602201e-08,1.15096363546723e-05,TRINITY_DN143204_c5_g1::NA
TRINITY_DN138376_c1_g4,TRINITY_DN138376_c1_g4,NA,NA,NA,175.301220423939,1.63265128592315,0.291695506045353,5.59710812160852,2.17956789191124e-08,1.3292873205925e-05,TRINITY_DN138376_c1_g4::NA
TRINITY_DN819_c0_g1,TRINITY_DN819_c0_g1,NA,NA,NA,955.505760492646,-1.87318077501954,0.336578356252693,-5.56536313230197,2.61607048982295e-08,1.55118446321557e-05,TRINITY_DN819_c0_g1::NA
TRINITY_DN133102_c0_g2,TRINITY_DN133102_c0_g2,NA,NA,NA,118.90062796298,1.56254145844038,0.281488765771472,5.55099047792528,2.84055559870694e-08,1.55473076435893e-05,TRINITY_DN133102_c0_g2::NA
TRINITY_DN150696_c2_g1,TRINITY_DN150696_c2_g1,NA,NA,NA,214.24173691689,2.18215062858078,0.392846285276673,5.55471875480239,2.78059092371499e-08,1.55473076435893e-05,TRINITY_DN150696_c2_g1::NA
TRINITY_DN150715_c7_g14,TRINITY_DN150715_c7_g14,NA,NA,NA,177.566243246496,-2.25302728593324,0.405771781818624,-5.55244939861372,2.81694273094946e-08,1.55473076435893e-05,TRINITY_DN150715_c7_g14::NA
TRINITY_DN150011_c0_g3,TRINITY_DN150011_c0_g3,NA,NA,NA,154.820627253758,-3.56881405291488,0.643450220514261,-5.54637163705157,2.91658566805056e-08,1.55643594175518e-05,TRINITY_DN150011_c0_g3::NA
TRINITY_DN147856_c0_g9,TRINITY_DN147856_c0_g9,NA,NA,NA,113.347825919808,-1.1118950559194,0.200913564518586,-5.53419605382864,3.12659098114168e-08,1.62781002642561e-05,TRINITY_DN147856_c0_g9::NA
TRINITY_DN147010_c0_g7,TRINITY_DN147010_c0_g7,NA,NA,NA,655.107848020611,1.36781054463026,0.250407574428265,5.46233694309477,4.69907089123332e-08,2.3882468391492e-05,TRINITY_DN147010_c0_g7::NA
TRINITY_DN148846_c1_g1,TRINITY_DN148846_c1_g1,NA,NA,NA,1137.8202832221,0.614223172277066,0.112671829663231,5.45143514677039,4.99649432216807e-08,2.48035273955813e-05,TRINITY_DN148846_c1_g1::NA
