transcriptID,part1,part2,part3,rest,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,transcriptID_trim
TRINITY_DN147187_c0_g12,TRINITY_DN147187_c0_g12,NA,NA,NA,97.2452121651749,-2.61744593192695,0.258572522561065,-10.1226762457283,4.38265144166835e-24,9.17464252798852e-20,TRINITY_DN147187_c0_g12::NA
TRINITY_DN138549_c1_g2,TRINITY_DN138549_c1_g2,NA,NA,NA,584.236832258609,-2.14895172250886,0.246379543557469,-8.72211909917597,2.73042904876948e-18,2.85794008534701e-14,TRINITY_DN138549_c1_g2::NA
TRINITY_DN116533_c0_g1,TRINITY_DN116533_c0_g1,NA,NA,NA,103.086006299721,4.98736338708012,0.58218744789746,8.5665938094195,1.06591065517686e-17,7.43792455182416e-14,TRINITY_DN116533_c0_g1::NA
TRINITY_DN138549_c2_g12,TRINITY_DN138549_c2_g12,NA,NA,NA,776.248062122074,-2.27978395564124,0.287915422577209,-7.91824187545867,2.40892411888788e-15,1.26071043761997e-11,TRINITY_DN138549_c2_g12::NA
TRINITY_DN105986_c0_g1,TRINITY_DN105986_c0_g1,NA,NA,NA,893.520771166372,1.81716152628637,0.236590003045685,7.68063528844659,1.58301568053504e-14,6.62777005126411e-11,TRINITY_DN105986_c0_g1::NA
TRINITY_DN150311_c5_g3,TRINITY_DN150311_c5_g3,NA,NA,NA,1745.74106298933,-0.936197567640644,0.124440685097715,-7.52324343847442,5.34337986444866e-14,1.86430523470614e-10,TRINITY_DN150311_c5_g3::NA
TRINITY_DN147627_c0_g3,TRINITY_DN147627_c0_g3,NA,NA,NA,199.583313571696,-1.28299710097278,0.171056856718645,-7.50041317012542,6.36169871095842e-14,1.90251144021719e-10,TRINITY_DN147627_c0_g3::NA
TRINITY_DN147187_c0_g9,TRINITY_DN147187_c0_g9,NA,NA,NA,94.1439111628567,-2.32077297840614,0.313400988851495,-7.40512334345519,1.31028626151194e-13,3.42869157481137e-10,TRINITY_DN147187_c0_g9::NA
TRINITY_DN148006_c0_g1,TRINITY_DN148006_c0_g1,NA,NA,NA,631.505511991167,-1.35028735297944,0.18288085345246,-7.38342657248394,1.54266761736168e-13,3.58824487798327e-10,TRINITY_DN148006_c0_g1::NA
TRINITY_DN141119_c7_g3,TRINITY_DN141119_c7_g3,NA,NA,NA,961.857418047931,-3.00111130486025,0.408220042394194,-7.35170004701104,1.95701591236675e-13,3.7243791917714e-10,TRINITY_DN141119_c7_g3::NA
TRINITY_DN141133_c0_g1,TRINITY_DN141133_c0_g1,NA,NA,NA,524.146898357092,1.26731300265707,0.172094571376483,7.36404985073367,1.78413019064478e-13,3.7243791917714e-10,TRINITY_DN141133_c0_g1::NA
TRINITY_DN108299_c0_g1,TRINITY_DN108299_c0_g1,NA,NA,NA,526.173198784541,3.35291336938984,0.458591223551011,7.3113334865574,2.6450415994302e-13,4.48320787807522e-10,TRINITY_DN108299_c0_g1::NA
TRINITY_DN141119_c7_g7,TRINITY_DN141119_c7_g7,NA,NA,NA,932.227107571687,-3.49209942713691,0.478078471413227,-7.30444819406752,2.78406909405646e-13,4.48320787807522e-10,TRINITY_DN141119_c7_g7::NA
TRINITY_DN147627_c0_g1,TRINITY_DN147627_c0_g1,NA,NA,NA,580.283152533661,-1.39165326611758,0.196994968416023,-7.06441020959798,1.61299600916215e-12,2.41188988970003e-09,TRINITY_DN147627_c0_g1::NA
TRINITY_DN146777_c2_g5,TRINITY_DN146777_c2_g5,NA,NA,NA,182.860224086113,1.94829512837945,0.281750711238254,6.91496081701791,4.67992708738241e-12,6.53130624315089e-09,TRINITY_DN146777_c2_g5::NA
TRINITY_DN123676_c0_g2,TRINITY_DN123676_c0_g2,NA,NA,NA,179.295018317384,-2.79435272476247,0.41585943312255,-6.71946456469823,1.82393531597714e-11,2.24601540615679e-08,TRINITY_DN123676_c0_g2::NA
TRINITY_DN144742_c0_g5,TRINITY_DN144742_c0_g5,NA,NA,NA,218.704828317416,-2.9146398974031,0.433345784357652,-6.72589881478476,1.74511808419438e-11,2.24601540615679e-08,TRINITY_DN144742_c0_g5::NA
TRINITY_DN145881_c0_g4,TRINITY_DN145881_c0_g4,NA,NA,NA,205.735540709733,-1.29118440700408,0.195293824384383,-6.61149634953503,3.80454503509191e-11,4.42468587581189e-08,TRINITY_DN145881_c0_g4::NA
TRINITY_DN144155_c0_g8,TRINITY_DN144155_c0_g8,NA,NA,NA,55.4610030094666,-1.81696200396664,0.28184148180049,-6.44675152982922,1.14272897242616e-10,1.19609441543847e-07,TRINITY_DN144155_c0_g8::NA
TRINITY_DN148010_c1_g22,TRINITY_DN148010_c1_g22,NA,NA,NA,177.052018106822,-1.17700888200616,0.182568077077247,-6.44695885967048,1.14116747635593e-10,1.19609441543847e-07,TRINITY_DN148010_c1_g22::NA
TRINITY_DN136996_c2_g7,TRINITY_DN136996_c2_g7,NA,NA,NA,2086.56434198145,-1.64332489142288,0.256903743444379,-6.39665607589195,1.58816489948495e-10,1.58317352408657e-07,TRINITY_DN136996_c2_g7::NA
TRINITY_DN141317_c8_g5,TRINITY_DN141317_c8_g5,NA,NA,NA,2436.49583804038,-2.75635599467799,0.441358320365881,-6.24516604194297,4.23350144067169e-10,4.02836905268278e-07,TRINITY_DN141317_c8_g5::NA
TRINITY_DN133280_c15_g27,TRINITY_DN133280_c15_g27,NA,NA,NA,1852.80247100558,2.14707968216555,0.347522253729924,6.17825091521806,6.48156469011127e-10,5.89935109664301e-07,TRINITY_DN133280_c15_g27::NA
TRINITY_DN141317_c8_g4,TRINITY_DN141317_c8_g4,NA,NA,NA,1795.03313283117,-2.47166074342424,0.400644867784267,-6.16920605296546,6.86337399431642e-10,5.9865779665425e-07,TRINITY_DN141317_c8_g4::NA
TRINITY_DN147342_c0_g4,TRINITY_DN147342_c0_g4,NA,NA,NA,160.662388238104,-2.04800388125189,0.337596420384295,-6.06642653059116,1.30787512409513e-09,1.05304068645413e-06,TRINITY_DN147342_c0_g4::NA
TRINITY_DN91536_c0_g1,TRINITY_DN91536_c0_g1,NA,NA,NA,1155.79867540306,1.14588672031855,0.188762297455934,6.07052751403417,1.27490770698062e-09,1.05304068645413e-06,TRINITY_DN91536_c0_g1::NA
TRINITY_DN149502_c0_g17,TRINITY_DN149502_c0_g17,NA,NA,NA,72.5761306984385,-1.46614152460411,0.245853628687391,-5.96347319513573,2.46931976787223e-09,1.91454592669027e-06,TRINITY_DN149502_c0_g17::NA
TRINITY_DN129162_c2_g2,TRINITY_DN129162_c2_g2,NA,NA,NA,83.5840599856346,3.48234077690238,0.587784392205213,5.92452066281915,3.13209628516595e-09,2.341689415488e-06,TRINITY_DN129162_c2_g2::NA
TRINITY_DN135502_c8_g4,TRINITY_DN135502_c8_g4,NA,NA,NA,355.592514646093,-1.44178830879537,0.244168412806631,-5.90489282467998,3.52876079759987e-09,2.54727857023985e-06,TRINITY_DN135502_c8_g4::NA
TRINITY_DN124118_c0_g1,TRINITY_DN124118_c0_g1,NA,NA,NA,2262.97714674985,-0.536799843902781,0.0911310491354709,-5.89041659231642,3.85223263963564e-09,2.68808793593775e-06,TRINITY_DN124118_c0_g1::NA
TRINITY_DN142394_c15_g1,TRINITY_DN142394_c15_g1,NA,NA,NA,991.14810206898,2.34891044706859,0.401851378956015,5.84522181601297,5.0589369539701e-09,3.41625116756162e-06,TRINITY_DN142394_c15_g1::NA
TRINITY_DN122231_c0_g1,TRINITY_DN122231_c0_g1,NA,NA,NA,1039.13595671031,-0.810389468675387,0.139008010910411,-5.82980407652675,5.54924905345809e-09,3.63024936515911e-06,TRINITY_DN122231_c0_g1::NA
TRINITY_DN149265_c5_g2,TRINITY_DN149265_c5_g2,NA,NA,NA,858.285193122734,-1.3595063499954,0.233438387754819,-5.8238337022071,5.75128060184985e-09,3.64840327633711e-06,TRINITY_DN149265_c5_g2::NA
TRINITY_DN149266_c0_g20,TRINITY_DN149266_c0_g20,NA,NA,NA,155.707507622886,-1.06779203760854,0.183745992058719,-5.81123988417288,6.20118288588257e-09,3.81810478038428e-06,TRINITY_DN149266_c0_g20::NA
TRINITY_DN138399_c0_g2,TRINITY_DN138399_c0_g2,NA,NA,NA,1651.54354532156,-1.75070316326094,0.304045234568772,-5.75803520072917,8.50986124108887e-09,5.08986957774155e-06,TRINITY_DN138399_c0_g2::NA
TRINITY_DN131329_c1_g1,TRINITY_DN131329_c1_g1,NA,NA,NA,213.744253582589,-1.17676198002156,0.205561981631432,-5.7246090482406,1.03672199376029e-08,6.02853839371611e-06,TRINITY_DN131329_c1_g1::NA
TRINITY_DN138650_c2_g3,TRINITY_DN138650_c2_g3,NA,NA,NA,208.799066169067,2.95553606923773,0.520540972403964,5.67781639856026,1.36425028336312e-08,7.71870687349286e-06,TRINITY_DN138650_c2_g3::NA
TRINITY_DN138634_c0_g4,TRINITY_DN138634_c0_g4,NA,NA,NA,115.695394555435,-2.74433101796949,0.484366248733473,-5.66581801507724,1.46324763184972e-08,8.06095419082687e-06,TRINITY_DN138634_c0_g4::NA
TRINITY_DN134831_c0_g3,TRINITY_DN134831_c0_g3,NA,NA,NA,67.9434181069282,-2.26276912126601,0.401535724782712,-5.63528717772371,1.74766853480255e-08,9.38094695065552e-06,TRINITY_DN134831_c0_g3::NA
