transcriptID_trim,log2FoldChange
TRINITY_DN147187_c0_g12,-2.617445932
TRINITY_DN138549_c1_g2,-2.148951723
TRINITY_DN116533_c0_g1,4.987363387
TRINITY_DN138549_c2_g12,-2.279783956
TRINITY_DN105986_c0_g1,1.817161526
TRINITY_DN150311_c5_g3,-0.936197568
TRINITY_DN147627_c0_g3,-1.282997101
TRINITY_DN147187_c0_g9,-2.320772978
TRINITY_DN148006_c0_g1,-1.350287353
TRINITY_DN141119_c7_g3,-3.001111305
TRINITY_DN141133_c0_g1,1.267313003
TRINITY_DN108299_c0_g1,3.352913369
TRINITY_DN141119_c7_g7,-3.492099427
TRINITY_DN147627_c0_g1,-1.391653266
TRINITY_DN146777_c2_g5,1.948295128
TRINITY_DN123676_c0_g2,-2.794352725
TRINITY_DN144742_c0_g5,-2.914639897
TRINITY_DN145881_c0_g4,-1.291184407
TRINITY_DN144155_c0_g8,-1.816962004
TRINITY_DN148010_c1_g22,-1.177008882
TRINITY_DN136996_c2_g7,-1.643324891
TRINITY_DN141317_c8_g5,-2.756355995
TRINITY_DN133280_c15_g27,2.147079682
TRINITY_DN141317_c8_g4,-2.471660743
TRINITY_DN147342_c0_g4,-2.048003881
TRINITY_DN91536_c0_g1,1.14588672
TRINITY_DN149502_c0_g17,-1.466141525
TRINITY_DN129162_c2_g2,3.482340777
TRINITY_DN135502_c8_g4,-1.441788309
TRINITY_DN124118_c0_g1,-0.536799844
TRINITY_DN142394_c15_g1,2.348910447
TRINITY_DN122231_c0_g1,-0.810389469
TRINITY_DN149265_c5_g2,-1.35950635
TRINITY_DN149266_c0_g20,-1.067792038
TRINITY_DN138399_c0_g2,-1.750703163
TRINITY_DN131329_c1_g1,-1.17676198
TRINITY_DN138650_c2_g3,2.955536069
TRINITY_DN138634_c0_g4,-2.744331018
TRINITY_DN134831_c0_g3,-2.262769121
TRINITY_DN139913_c0_g2,1.906857218
TRINITY_DN137395_c0_g3,-1.620209869
TRINITY_DN146565_c0_g2,-1.793419134
TRINITY_DN145616_c3_g3,4.345676032
TRINITY_DN138433_c0_g3,-1.879723335
TRINITY_DN146478_c2_g5,1.565779132
TRINITY_DN135180_c0_g1,-0.894790403
TRINITY_DN145427_c0_g13,-0.837310441
TRINITY_DN98726_c0_g1,0.663620626
TRINITY_DN137264_c0_g1,-1.55512526
TRINITY_DN145192_c0_g16,1.272151356
TRINITY_DN113400_c1_g5,1.698812272
TRINITY_DN146426_c5_g9,2.175261888
TRINITY_DN147342_c0_g13,-1.843371983
TRINITY_DN140973_c0_g2,-1.356208492
TRINITY_DN140077_c0_g10,-1.573795984
TRINITY_DN145290_c0_g15,2.969764143
TRINITY_DN111198_c0_g1,-1.523878261
TRINITY_DN138623_c1_g2,-1.567336844
TRINITY_DN144560_c0_g2,-1.121924545
TRINITY_DN140045_c0_g1,-1.80231844
TRINITY_DN141333_c0_g4,1.900636558
TRINITY_DN144897_c0_g20,1.246947848
TRINITY_DN145290_c0_g14,3.068308487
TRINITY_DN148386_c0_g13,1.197784024
TRINITY_DN127966_c1_g1,-1.48096724
TRINITY_DN143305_c0_g8,0.813607204
